id,posts,id_from_user,id_to_user,time,content,viewed
150,story,50,0,2021-10-14 17:23:21,Compatible analyzing internet solution,public
151,message,689,674,2021-10-14 20:54:32,Reactive contextually-based product,no
152,story,600,0,2021-10-15 12:45:58,Organic exuding core,public
153,message,397,890,2021-10-15 07:27:18,Decentralized radical groupware,no
154,story,248,0,2021-10-14 19:55:11,Proactive intangible projection,public
155,message,432,53,2021-10-14 04:47:26,Customer-focused non-volatile leverage,no
156,story,126,0,2021-10-14 14:56:49,Phased analyzing open architecture,public
157,message,996,874,2021-10-14 03:42:01,Object-based explicit alliance,yes
158,story,536,0,2021-10-15 05:43:06,Balanced 5th generation encoding,public
159,message,261,525,2021-10-14 08:45:26,Versatile full-range matrices,yes
160,story,317,0,2021-10-14 13:41:50,User-centric executive Graphical User Interface,public
161,message,504,891,2021-10-14 23:50:24,Optimized next generation synergy,yes
162,story,991,0,2021-10-15 09:11:15,Operative client-driven budgetary management,public
163,message,646,554,2021-10-14 10:10:44,Face to face upward-trending implementation,yes
164,story,248,0,2021-10-15 03:57:04,Proactive attitude-oriented instruction set,public
165,message,837,418,2021-10-14 16:57:16,Cross-platform background encoding,no
166,story,67,0,2021-10-14 00:15:09,Profit-focused object-oriented instruction set,public
167,message,713,906,2021-10-14 12:38:29,Realigned user-facing challenge,yes
168,story,474,0,2021-10-14 06:49:42,Business-focused content-based matrices,public
169,message,114,760,2021-10-14 03:03:01,Pre-emptive homogeneous collaboration,no
170,story,182,0,2021-10-15 03:27:43,Reduced 24/7 framework,public
171,message,105,397,2021-10-15 11:29:25,Synergistic asymmetric core,yes
172,story,462,0,2021-10-14 15:42:20,Organized systemic architecture,public
173,message,822,34,2021-10-15 23:21:40,Balanced responsive intranet,yes
174,story,539,0,2021-10-15 19:36:52,Seamless object-oriented Graphic Interface,public
175,message,57,28,2021-10-14 01:32:06,Persistent impactful time-frame,yes
176,story,988,0,2021-10-14 14:52:10,Multi-channelled zero tolerance moderator,public
177,message,654,213,2021-10-14 01:03:47,Customizable next generation knowledge base,no
178,story,614,0,2021-10-15 10:20:36,Open-architected attitude-oriented ability,public
179,message,525,710,2021-10-15 04:11:13,Adaptive multi-tasking emulation,no
180,story,505,0,2021-10-14 12:10:59,Cross-group explicit productivity,public
181,message,646,732,2021-10-14 07:01:58,Profound static database,no
182,story,584,0,2021-10-14 23:40:33,Re-engineered mobile analyzer,public
183,message,340,811,2021-10-15 10:59:57,Persevering web-enabled capacity,no
184,story,969,0,2021-10-15 17:28:42,Integrated neutral middleware,public
185,message,313,96,2021-10-15 09:57:57,Future-proofed dedicated moratorium,yes
186,story,33,0,2021-10-14 23:19:41,Polarised fresh-thinking model,public
187,message,983,392,2021-10-14 17:39:32,Switchable non-volatile solution,no
188,story,907,0,2021-10-15 09:56:30,Configurable solution-oriented conglomeration,public
189,message,545,20,2021-10-14 04:14:50,Future-proofed static implementation,no
190,story,952,0,2021-10-15 13:05:35,Fully-configurable mobile complexity,public
191,message,207,300,2021-10-14 05:59:58,Multi-layered neutral solution,no
192,story,993,0,2021-10-14 06:38:47,Networked exuding challenge,public
193,message,596,156,2021-10-15 20:07:30,Reverse-engineered bifurcated framework,no
194,story,950,0,2021-10-15 16:12:13,Future-proofed bandwidth-monitored process improvement,public
195,message,136,694,2021-10-14 18:45:42,Object-based grid-enabled matrix,no
196,story,470,0,2021-10-15 01:43:17,Diverse composite ability,public
197,message,411,506,2021-10-15 15:58:19,Reverse-engineered optimal productivity,no
198,story,912,0,2021-10-15 00:36:54,Synergized upward-trending hierarchy,public
199,message,16,477,2021-10-15 10:14:47,Future-proofed grid-enabled concept,no
200,story,990,0,2021-10-15 16:55:13,Function-based fresh-thinking conglomeration,public
201,message,260,128,2021-10-14 05:44:41,Cross-platform non-volatile extranet,no
202,story,550,0,2021-10-15 10:52:02,Integrated foreground collaboration,public
203,message,913,916,2021-10-14 03:34:38,Streamlined radical pricing structure,yes
204,story,697,0,2021-10-15 17:15:31,Persistent dedicated architecture,public
205,message,451,3,2021-10-15 18:55:54,Multi-channelled multi-state process improvement,yes
206,story,600,0,2021-10-14 11:33:00,Open-architected 24/7 methodology,public
207,message,876,59,2021-10-14 13:12:40,Open-architected logistical open architecture,no
208,story,188,0,2021-10-14 04:46:44,Multi-layered mission-critical toolset,public
209,message,434,642,2021-10-14 07:03:22,Cloned executive contingency,no
210,story,850,0,2021-10-15 17:47:15,Face to face impactful workforce,public
211,message,263,1,2021-10-14 04:56:53,Public-key bottom-line open system,no
212,story,54,0,2021-10-14 00:20:51,Robust incremental encoding,public
213,message,969,125,2021-10-14 10:00:11,Cross-group zero administration hardware,yes
214,story,483,0,2021-10-14 01:07:19,Fully-configurable modular contingency,public
215,message,270,247,2021-10-14 03:00:26,Proactive content-based definition,yes
216,story,956,0,2021-10-14 19:26:25,Progressive value-added strategy,public
217,message,793,878,2021-10-14 02:56:51,Profound explicit complexity,no
218,story,458,0,2021-10-15 06:17:08,Integrated neutral emulation,public
219,message,117,419,2021-10-15 22:07:11,Vision-oriented solution-oriented core,no
220,story,556,0,2021-10-14 08:08:28,Face to face full-range internet solution,public
221,message,513,840,2021-10-15 09:18:16,Intuitive high-level paradigm,no
222,story,415,0,2021-10-15 16:30:48,Extended mission-critical middleware,public
223,message,577,910,2021-10-15 00:15:09,Reactive tertiary time-frame,no
224,story,734,0,2021-10-15 09:49:13,Total exuding pricing structure,public
225,message,228,488,2021-10-14 07:55:38,Self-enabling secondary customer loyalty,no
226,story,482,0,2021-10-15 06:09:06,Multi-channelled discrete focus group,public
227,message,218,310,2021-10-14 23:02:44,Profound tangible time-frame,no
228,story,103,0,2021-10-14 16:50:49,Monitored next generation throughput,public
229,message,541,781,2021-10-15 05:22:52,Visionary fresh-thinking productivity,no
230,story,724,0,2021-10-15 22:47:47,Switchable even-keeled throughput,public
231,message,67,318,2021-10-14 15:35:22,Balanced bandwidth-monitored task-force,no
232,story,261,0,2021-10-14 08:50:13,Managed object-oriented architecture,public
233,message,270,81,2021-10-14 12:21:13,Visionary clear-thinking analyzer,no
234,story,869,0,2021-10-14 07:29:31,Pre-emptive systemic productivity,public
235,message,652,805,2021-10-15 00:56:10,Multi-tiered eco-centric strategy,no
236,story,169,0,2021-10-14 08:51:15,Cross-group mobile benchmark,public
237,message,902,563,2021-10-14 09:59:44,Innovative scalable strategy,no
238,story,612,0,2021-10-14 05:33:30,De-engineered incremental intranet,public
239,message,116,630,2021-10-15 03:12:11,User-friendly coherent methodology,yes
240,story,497,0,2021-10-14 18:11:12,Down-sized high-level solution,public
241,message,442,131,2021-10-15 05:56:32,Balanced real-time service-desk,no
242,story,74,0,2021-10-15 00:39:16,Implemented scalable software,public
243,message,111,549,2021-10-14 04:08:34,Re-engineered optimal paradigm,yes
244,story,777,0,2021-10-14 18:36:38,Sharable disintermediate benchmark,public
245,message,592,517,2021-10-14 05:24:17,Function-based intangible hub,yes
246,story,297,0,2021-10-15 19:09:03,Pre-emptive global leverage,public
247,message,474,43,2021-10-14 09:35:22,Organized regional success,no
248,story,213,0,2021-10-14 22:56:43,Re-contextualized systemic moratorium,public
249,message,300,21,2021-10-15 08:28:30,Proactive multi-state migration,no
250,story,487,0,2021-10-14 14:13:48,Operative bottom-line moderator,public
251,message,102,437,2021-10-15 15:00:59,Virtual discrete data-warehouse,no
252,story,492,0,2021-10-15 13:07:11,Progressive encompassing system engine,public
253,message,404,138,2021-10-14 15:40:28,Diverse needs-based adapter,yes
254,story,647,0,2021-10-15 00:24:18,Stand-alone explicit complexity,public
255,message,400,845,2021-10-15 20:03:55,Multi-tiered asymmetric forecast,no
256,story,436,0,2021-10-14 20:32:12,Robust web-enabled productivity,public
257,message,632,557,2021-10-15 05:56:32,Intuitive cohesive help-desk,no
258,story,143,0,2021-10-14 22:11:00,Total even-keeled model,public
259,message,284,695,2021-10-15 15:12:06,Persistent dedicated collaboration,yes
260,story,426,0,2021-10-14 07:51:32,Managed explicit time-frame,public
261,message,25,972,2021-10-14 11:45:20,Advanced background groupware,no
262,story,323,0,2021-10-14 07:34:04,Organic systemic synergy,public
263,message,15,898,2021-10-14 19:27:41,Innovative local process improvement,no
264,story,297,0,2021-10-14 09:38:04,Customizable client-driven system engine,public
265,message,191,652,2021-10-14 13:39:43,Open-architected neutral project,yes
266,story,588,0,2021-10-15 10:38:10,Synergized client-driven open system,public
267,message,549,438,2021-10-14 22:01:18,Mandatory solution-oriented standardization,yes
268,story,988,0,2021-10-15 21:21:52,Synergized 24 hour encryption,public
269,message,735,388,2021-10-14 14:13:44,User-centric tangible matrices,yes
270,story,814,0,2021-10-14 20:07:27,Self-enabling homogeneous data-warehouse,public
271,message,967,673,2021-10-15 16:38:21,Fundamental interactive definition,yes
272,story,896,0,2021-10-14 15:41:48,Seamless motivating architecture,public
273,message,161,265,2021-10-14 05:29:57,Streamlined discrete complexity,no
274,story,294,0,2021-10-14 15:20:24,Self-enabling clear-thinking flexibility,public
275,message,606,192,2021-10-15 03:44:30,Horizontal bifurcated hierarchy,no
276,story,37,0,2021-10-15 20:27:49,Stand-alone well-modulated moratorium,public
277,message,649,266,2021-10-14 16:35:01,Polarised dedicated middleware,yes
278,story,580,0,2021-10-14 11:32:18,Ameliorated multi-tasking throughput,public
279,message,882,170,2021-10-15 13:50:27,Re-contextualized secondary flexibility,yes
280,story,964,0,2021-10-14 00:25:39,Profit-focused eco-centric projection,public
281,message,777,152,2021-10-15 13:10:55,Face to face systemic focus group,no
282,story,513,0,2021-10-15 19:29:05,Optional radical middleware,public
283,message,384,239,2021-10-15 03:20:03,Face to face tangible success,yes
284,story,395,0,2021-10-15 08:35:08,Virtual system-worthy strategy,public
285,message,280,236,2021-10-14 17:16:21,Decentralized bi-directional complexity,yes
286,story,525,0,2021-10-15 06:09:04,Customer-focused upward-trending definition,public
287,message,543,663,2021-10-15 17:24:05,Configurable empowering encryption,no
288,story,747,0,2021-10-15 22:12:26,Extended foreground hub,public
289,message,951,263,2021-10-15 22:22:21,Team-oriented analyzing budgetary management,no
290,story,161,0,2021-10-15 19:35:12,Switchable systemic open architecture,public
291,message,732,909,2021-10-15 22:05:41,Synchronised radical pricing structure,no
292,story,668,0,2021-10-15 18:02:23,Integrated bi-directional architecture,public
293,message,94,95,2021-10-15 08:39:02,Implemented well-modulated approach,yes
294,story,39,0,2021-10-15 16:55:26,Focused next generation forecast,public
295,message,229,790,2021-10-14 06:11:51,Self-enabling client-server array,no
296,story,851,0,2021-10-15 08:38:02,Exclusive multi-tasking local area network,public
297,message,546,349,2021-10-15 16:40:58,Streamlined eco-centric migration,yes
298,story,730,0,2021-10-15 13:43:10,Multi-channelled intangible challenge,public
299,message,30,626,2021-10-15 18:14:56,Fundamental directional instruction set,no
300,story,231,0,2021-10-15 01:24:08,Reactive solution-oriented core,public
301,message,831,892,2021-10-15 16:17:12,Managed methodical orchestration,yes
302,story,658,0,2021-10-15 07:31:25,Optimized value-added installation,public
303,message,37,340,2021-10-14 19:48:05,Focused background alliance,no
304,story,31,0,2021-10-14 02:02:21,Front-line regional solution,public
305,message,153,141,2021-10-15 07:55:47,Total foreground paradigm,yes
306,story,836,0,2021-10-14 14:40:30,User-centric next generation initiative,public
307,message,444,810,2021-10-15 19:47:26,Customer-focused 6th generation algorithm,yes
308,story,414,0,2021-10-14 13:26:39,Mandatory web-enabled artificial intelligence,public
309,message,281,871,2021-10-14 13:22:43,Assimilated well-modulated leverage,yes
310,story,372,0,2021-10-14 01:31:16,Cloned 24 hour encryption,public
311,message,251,61,2021-10-14 17:03:12,Organized background process improvement,no
312,story,112,0,2021-10-14 04:35:30,Synchronised mission-critical flexibility,public
313,message,552,631,2021-10-15 18:07:19,Quality-focused 3rd generation help-desk,no
314,story,236,0,2021-10-14 23:27:03,Monitored responsive firmware,public
315,message,258,242,2021-10-14 01:51:21,User-friendly analyzing encoding,no
316,story,490,0,2021-10-14 20:07:08,Optimized even-keeled productivity,public
317,message,694,463,2021-10-14 14:33:10,Extended discrete support,no
318,story,675,0,2021-10-14 05:08:22,Organic local database,public
319,message,736,640,2021-10-14 23:45:18,Inverse static encryption,no
320,story,520,0,2021-10-15 16:54:29,Implemented mission-critical support,public
321,message,84,940,2021-10-14 10:06:40,Implemented heuristic installation,no
322,story,766,0,2021-10-14 17:15:47,Stand-alone eco-centric analyzer,public
323,message,338,790,2021-10-14 02:46:35,Robust bi-directional encryption,yes
324,story,727,0,2021-10-14 09:48:08,Open-architected high-level help-desk,public
325,message,730,577,2021-10-15 21:56:09,Public-key dedicated project,no
326,story,338,0,2021-10-15 08:05:31,User-centric asymmetric functionalities,public
327,message,262,661,2021-10-14 18:32:17,Adaptive reciprocal extranet,yes
328,story,707,0,2021-10-14 03:00:00,Cross-group solution-oriented ability,public
329,message,540,188,2021-10-15 19:57:16,Front-line contextually-based time-frame,no
330,story,493,0,2021-10-15 18:57:14,Horizontal optimizing matrix,public
331,message,665,996,2021-10-14 11:02:51,Focused leading edge encryption,no
332,story,221,0,2021-10-15 01:58:51,Synergistic coherent portal,public
333,message,501,850,2021-10-14 05:47:53,Visionary non-volatile protocol,no
334,story,954,0,2021-10-14 12:15:51,Public-key actuating infrastructure,public
335,message,988,56,2021-10-14 17:16:05,Secured directional matrix,yes
336,story,464,0,2021-10-15 12:19:52,Synchronised stable workforce,public
337,message,826,495,2021-10-14 10:43:17,Object-based responsive functionalities,yes
338,story,765,0,2021-10-15 00:12:08,Polarised discrete local area network,public
339,message,87,404,2021-10-15 23:09:34,Horizontal real-time alliance,no
340,story,56,0,2021-10-15 21:08:44,Cross-platform user-facing frame,public
341,message,950,851,2021-10-15 02:51:50,Configurable content-based knowledge user,yes
342,story,189,0,2021-10-15 13:33:00,Organized regional intranet,public
343,message,21,600,2021-10-15 15:11:16,Reverse-engineered holistic knowledge base,yes
344,story,20,0,2021-10-15 11:30:16,Customizable disintermediate firmware,public
345,message,128,364,2021-10-15 20:45:22,Universal scalable alliance,no
346,story,787,0,2021-10-15 22:29:57,Profound bottom-line contingency,public
347,message,1,586,2021-10-14 04:51:13,Business-focused solution-oriented moderator,no
348,story,695,0,2021-10-14 23:34:55,Focused optimizing paradigm,public
349,message,602,475,2021-10-14 18:23:47,Function-based human-resource interface,yes
350,story,11,0,2021-10-15 03:45:48,Distributed secondary toolset,public
351,message,946,364,2021-10-15 15:42:00,Virtual non-volatile secured line,yes
352,story,260,0,2021-10-14 07:29:02,Front-line 6th generation workforce,public
353,message,14,460,2021-10-15 12:41:55,Fundamental 24 hour attitude,no
354,story,140,0,2021-10-14 20:09:43,Reduced dynamic service-desk,public
355,message,3,985,2021-10-15 12:02:09,Enterprise-wide local circuit,no
356,story,94,0,2021-10-15 13:36:32,Expanded client-driven secured line,public
357,message,541,731,2021-10-14 22:28:55,Versatile content-based software,yes
358,story,342,0,2021-10-14 12:47:08,User-centric intermediate methodology,public
359,message,235,249,2021-10-15 16:02:11,User-centric coherent challenge,no
360,story,247,0,2021-10-15 14:47:43,Horizontal homogeneous challenge,public
361,message,179,928,2021-10-14 22:47:17,Integrated interactive hardware,no
362,story,598,0,2021-10-14 15:16:17,Extended global superstructure,public
363,message,674,732,2021-10-14 18:19:04,Realigned regional challenge,yes
364,story,123,0,2021-10-14 14:15:04,Managed asymmetric initiative,public
365,message,396,860,2021-10-14 03:26:37,Re-engineered bandwidth-monitored service-desk,no
366,story,595,0,2021-10-15 12:52:22,Focused incremental matrices,public
367,message,619,826,2021-10-14 03:32:17,Cross-platform bi-directional hardware,no
368,story,218,0,2021-10-15 08:00:31,Multi-layered intangible matrices,public
369,message,834,695,2021-10-14 17:22:40,Reduced system-worthy utilisation,no
370,story,818,0,2021-10-14 02:50:40,Reverse-engineered user-facing product,public
371,message,705,136,2021-10-14 02:39:19,Universal high-level capability,yes
372,story,577,0,2021-10-14 16:54:52,Innovative transitional info-mediaries,public
373,message,890,48,2021-10-15 00:50:37,Decentralized coherent matrices,no
374,story,46,0,2021-10-14 22:03:19,Fundamental object-oriented ability,public
375,message,801,939,2021-10-14 23:19:36,Configurable background solution,yes
376,story,529,0,2021-10-15 22:19:05,Networked global database,public
377,message,662,122,2021-10-14 16:53:02,Face to face value-added interface,no
378,story,763,0,2021-10-14 15:32:56,Fully-configurable human-resource algorithm,public
379,message,981,314,2021-10-15 00:45:08,Seamless neutral collaboration,yes
380,story,68,0,2021-10-14 14:19:05,Innovative leading edge task-force,public
381,message,295,879,2021-10-14 09:07:06,Profit-focused dynamic focus group,no
382,story,946,0,2021-10-14 06:15:03,Managed uniform algorithm,public
383,message,668,305,2021-10-15 20:46:37,Automated intangible encryption,no
384,story,230,0,2021-10-15 18:21:01,Progressive incremental policy,public
385,message,127,804,2021-10-14 05:29:41,Down-sized explicit help-desk,yes
386,story,898,0,2021-10-14 05:51:15,Grass-roots 24/7 portal,public
387,message,774,166,2021-10-14 12:33:19,Re-engineered leading edge contingency,no
388,story,504,0,2021-10-14 22:36:37,Centralized next generation pricing structure,public
389,message,727,215,2021-10-14 19:02:16,Reduced solution-oriented service-desk,no
390,story,137,0,2021-10-14 12:40:54,Triple-buffered solution-oriented budgetary management,public
