id,category,price_tier,open_time,close_time,neighborhood,average_rating,good_for_kids
210,buffet,expensive,11:00,21:55,Upper West Side,3.1,true
211,fine dining,expensive,11:29,22:56,Riverside South,4.8,true
212,cafe,medium,10:59,23:10,Lower East Side,4.7,false
213,contemporary,expensive,10:54,22:05,Times Square,3.0,true
214,contemporary,medium,11:12,23:33,Times Square,4.8,true
215,buffet,expensive,10:33,21:39,Flatiron District,4.7,true
216,casual dining,expensive,11:00,22:30,Little Fuzhou,3.5,false
217,fast food,cheap,10:38,22:32,West Village,4.7,false
218,casual dining,expensive,11:45,22:05,Hudson Square,1.5,false
219,buffet,cheap,12:08,22:47,Chelsea,4.8,false
220,fine dining,medium,10:56,22:25,Gramercy Park,4.9,true
221,casual dining,medium,11:41,23:19,Little Australia,3.6,false
222,casual dining,medium,12:01,21:33,Herald Square,3.0,true
223,family style,medium,10:49,22:13,SoHo,4.0,true
224,contemporary,medium,12:26,21:46,Columbus Circle,4.8,false
225,buffet,expensive,12:10,22:14,Loisaida,1.9,false
226,fast food,medium,12:00,23:38,Hell's Kitchen,4.1,true
227,fast food,cheap,11:44,22:40,Pomander Walk,2.3,true
228,cafe,expensive,11:46,23:47,Cooperative Village,3.0,true
229,fast food,expensive,11:35,22:39,Essex Crossing,4.3,false
230,casual dining,expensive,12:08,23:12,Little Fuzhou,5.0,false
231,buffet,medium,11:13,21:54,Two Bridges,4.0,true
232,family style,expensive,10:42,23:03,Carnegie Hill,4.2,false
233,casual dining,cheap,11:46,22:15,Little Italy,3.4,true
234,buffet,expensive,11:03,22:35,Alphabet City,2.9,false
235,fine dining,medium,11:03,21:44,SoHo,3.6,true
236,fine dining,expensive,12:29,22:37,Lower East Side,4.8,true
237,fine dining,cheap,10:49,23:41,SoHo,1.6,false
238,cafe,cheap,11:09,21:38,NoHo,2.4,false
239,fast food,cheap,12:01,22:39,Madison Square,3.5,true
240,buffet,medium,11:25,22:56,NoHo,3.1,true
241,cafe,cheap,12:06,23:38,East Village,1.6,true
242,fast food,expensive,10:48,22:10,Lincoln Square,3.5,true
243,family style,expensive,11:06,22:10,West Village,3.9,true
244,contemporary,expensive,11:19,23:55,Essex Crossing,3.1,true
245,casual dining,expensive,12:15,23:13,Bowery,4.1,true
246,contemporary,cheap,10:34,23:55,Columbus Circle,3.1,false
247,fine dining,cheap,11:25,21:55,Nolita,2.3,true
248,casual dining,medium,11:50,22:26,Civic Center,4.2,true
249,casual dining,expensive,10:32,22:01,NoHo,3.9,false
250,fine dining,medium,12:13,21:38,Chinatown,2.7,false
251,contemporary,expensive,11:41,23:45,Stuyvesant Town,4.3,false
252,contemporary,expensive,10:38,22:39,Bowery,3.7,true
253,casual dining,expensive,10:58,23:14,Lower East Side,2.2,false
254,contemporary,cheap,11:30,22:05,Meatpacking District,4.7,false
255,fast food,medium,10:36,22:46,East Village,1.5,false
256,contemporary,medium,11:28,22:10,Little Fuzhou,1.3,false
257,casual dining,cheap,11:12,22:04,Meatpacking District,3.7,true
258,contemporary,expensive,10:31,23:50,Financial District,1.7,false
259,cafe,expensive,10:54,23:49,Herald Square,3.9,true
260,family style,medium,11:47,23:35,Theater District,4.6,false
261,buffet,cheap,11:08,23:24,Essex Crossing,1.8,false
262,fine dining,medium,10:45,22:38,Chinatown,1.6,true
263,cafe,expensive,10:35,23:53,Little Italy,4.9,true
264,casual dining,expensive,11:53,21:40,Herald Square,2.6,false
265,fine dining,expensive,11:33,22:39,Nolita,3.9,false
266,fine dining,expensive,12:02,22:33,Little Italy,4.6,false
267,fine dining,medium,12:03,22:04,Garment District,1.5,true
268,family style,medium,10:33,21:49,Lower East Side,4.4,true
269,contemporary,cheap,11:44,23:18,Chelsea,2.9,false
270,contemporary,cheap,12:21,22:03,Diamond District,4.1,true
271,fast food,cheap,11:31,21:58,West Village,3.8,false
272,fast food,cheap,12:24,23:46,Hudson Square,3.5,true
273,contemporary,medium,12:22,23:16,South Street Seaport,3.5,true
274,casual dining,medium,12:16,22:38,Hell's Kitchen,4.2,true
275,cafe,cheap,11:15,22:00,Carnegie Hill,2.8,false
276,fast food,expensive,11:43,22:43,Flatiron District,3.8,true
277,cafe,medium,10:50,23:02,Little Fuzhou,5.0,true
278,fast food,expensive,11:18,22:39,Bowery,1.7,false
279,family style,expensive,10:57,21:58,Meatpacking District,3.3,true
280,contemporary,expensive,11:51,23:27,Manhattan Valley,4.9,false
281,cafe,medium,11:01,22:02,Nolita,1.7,false
282,buffet,cheap,11:22,22:41,Meatpacking District,4.1,true
283,cafe,cheap,12:08,23:56,Garment District,4.5,true
284,contemporary,cheap,11:06,21:31,Meatpacking District,2.1,false
285,family style,medium,11:06,21:55,SoHo,3.5,true
286,buffet,medium,11:56,23:13,Riverside South,2.2,true
287,casual dining,cheap,11:21,22:03,Stuyvesant Town,2.9,true
288,contemporary,medium,11:51,22:21,Union Square,4.7,false
289,buffet,expensive,11:43,23:54,Stuyvesant Town,1.8,false
290,family style,cheap,12:02,23:53,Theater District,2.9,false
291,fine dining,expensive,10:59,23:32,Riverside South,2.0,true
292,buffet,cheap,11:51,23:00,SoHo,1.4,true
293,buffet,medium,12:17,23:38,Manhattan Valley,1.7,false
294,contemporary,cheap,10:53,22:20,Riverside South,3.4,false
295,casual dining,cheap,11:12,21:35,Little Australia,1.7,false
296,contemporary,expensive,11:44,21:46,Penn South,5.0,false
297,cafe,medium,11:23,23:54,Lower East Side,2.8,false
298,family style,medium,11:57,22:06,Financial District,4.0,true
299,fast food,medium,12:21,21:48,Union Square,2.1,true
300,fast food,expensive,10:35,22:13,Financial District,1.9,true
301,buffet,cheap,12:01,21:56,Tribeca,4.2,true
302,family style,medium,10:37,22:17,Two Bridges,3.1,true
303,family style,expensive,11:02,21:57,SoHo,2.4,true
304,cafe,cheap,12:13,22:43,South Village,4.4,true
305,fine dining,cheap,12:22,22:41,Two Bridges,4.5,false
306,contemporary,medium,10:40,23:27,Theater District,3.6,false
307,fast food,medium,10:42,23:49,Little Fuzhou,3.1,true
308,casual dining,cheap,11:31,23:27,Hudson Yards,2.4,false
309,fast food,medium,11:54,22:31,Union Square,3.8,false
310,contemporary,expensive,10:53,22:40,Kips Bay,2.9,false
311,fast food,expensive,11:53,22:03,Little Australia,4.0,true
312,fast food,medium,11:51,21:49,East Village,4.6,true
313,fine dining,expensive,11:14,23:48,NoHo,2.9,false
314,casual dining,medium,10:37,22:04,Pomander Walk,2.1,true
315,fast food,expensive,11:32,23:10,Columbus Circle,4.6,false
316,fast food,expensive,11:56,23:48,Lower East Side,4.7,true
317,fast food,cheap,11:36,22:34,Columbus Circle,3.1,false
318,casual dining,cheap,10:55,21:59,NoMad,4.9,false
319,fast food,cheap,11:56,22:40,Essex Crossing,2.9,false
320,contemporary,cheap,12:07,23:16,Alphabet City,4.0,false
321,casual dining,medium,12:04,21:46,Greenwich Village,4.2,true
322,fast food,medium,12:16,22:16,East Village,1.0,false
323,buffet,cheap,11:47,22:12,Times Square,4.6,true
324,fine dining,medium,12:28,22:07,Civic Center,2.8,false
325,contemporary,medium,12:20,22:10,Civic Center,4.7,false
326,contemporary,expensive,10:34,23:08,Diamond District,1.0,true
327,casual dining,cheap,11:15,23:37,Theater District,3.6,false
328,cafe,cheap,11:17,22:03,Nolita,2.7,true
329,contemporary,medium,11:04,22:43,Diamond District,2.0,false
330,cafe,medium,12:18,22:55,NoHo,3.8,true
331,cafe,medium,11:57,22:29,Hudson Yards,3.1,false
332,fast food,medium,11:20,23:27,Flatiron District,4.6,true
333,fine dining,medium,11:57,23:22,World Trade Center,1.6,false
334,casual dining,medium,12:10,23:05,South Street Seaport,1.7,true
335,fast food,cheap,11:31,23:39,SoHo,3.7,false
336,fine dining,cheap,12:20,22:41,Cooperative Village,2.3,false
337,fine dining,medium,12:11,22:21,South Street Seaport,3.1,true
338,contemporary,cheap,11:46,22:49,Hudson Square,1.6,false
339,cafe,cheap,11:27,21:59,Lower East Side,1.5,true
340,cafe,cheap,11:18,22:36,West Village,4.0,false
341,family style,medium,12:23,23:04,Lower East Side,1.4,false
342,buffet,cheap,10:39,22:35,NoHo,4.7,true
343,buffet,expensive,10:30,21:47,Carnegie Hill,1.5,false
344,casual dining,expensive,10:32,23:42,Manhattan Valley,4.3,true
345,family style,expensive,11:13,22:52,Stuyvesant Town,2.5,false
346,family style,medium,11:30,22:57,NoHo,1.2,true
347,casual dining,medium,11:01,22:20,Columbus Circle,1.8,true
348,fine dining,medium,10:48,23:41,Kips Bay,1.6,true
349,casual dining,expensive,11:58,23:08,Upper West Side,5.0,false
350,fast food,cheap,11:36,22:08,Financial District,1.3,false
351,fine dining,cheap,11:55,21:40,Civic Center,3.1,true
352,family style,cheap,10:36,22:31,Carnegie Hill,3.1,false
353,fast food,cheap,10:35,22:51,Riverside South,3.0,false
354,cafe,expensive,12:23,23:55,Battery Park City,1.6,true
355,cafe,expensive,10:46,23:13,Hudson Square,3.8,false
356,casual dining,expensive,12:27,22:45,Penn South,1.0,true
357,buffet,cheap,12:18,23:16,World Trade Center,2.1,false
358,family style,expensive,12:24,22:14,Times Square,1.3,true
359,fine dining,expensive,11:26,22:31,Lower East Side,1.5,false
360,contemporary,medium,11:06,22:16,Cooperative Village,2.6,true
361,fine dining,cheap,11:31,23:41,Financial District,1.7,false
362,fine dining,cheap,11:13,23:16,Essex Crossing,1.3,true
363,contemporary,cheap,11:25,23:19,Chelsea,2.9,false
364,family style,medium,11:32,21:35,Battery Park City,2.9,true
365,contemporary,expensive,10:48,23:08,Civic Center,3.2,true
366,fast food,medium,11:39,22:08,Essex Crossing,2.3,false
367,cafe,medium,11:05,23:20,World Trade Center,4.7,false
368,family style,expensive,12:04,22:07,Tribeca,3.4,false
369,casual dining,medium,11:00,23:17,South Street Seaport,2.5,true
370,cafe,cheap,12:09,22:10,Manhattan Valley,4.7,false
371,fine dining,medium,11:45,21:58,Carnegie Hill,3.5,true
372,buffet,medium,11:55,23:26,Gramercy Park,2.3,false
373,cafe,medium,12:04,23:02,Nolita,3.5,true
374,cafe,cheap,11:42,22:51,Little Fuzhou,3.5,false
375,fine dining,cheap,11:50,22:56,Columbus Circle,3.1,false
376,fast food,cheap,10:47,23:07,NoMad,2.0,true
377,fast food,cheap,10:46,21:32,Madison Square,3.1,true
378,fast food,medium,10:42,22:23,Little Australia,3.5,false
379,fine dining,cheap,11:51,21:53,Bowery,3.1,true
380,family style,medium,10:57,23:57,Little Fuzhou,2.3,false
381,casual dining,expensive,11:26,23:24,Kips Bay,3.9,false
382,casual dining,cheap,12:27,23:18,Essex Crossing,1.6,true
383,family style,cheap,10:59,22:13,Greenwich Village,2.7,true
384,fast food,expensive,12:12,22:14,Stuyvesant Town,2.5,true
385,cafe,cheap,12:12,22:42,Alphabet City,1.0,false
386,casual dining,cheap,11:54,21:39,Korea town,3.1,false
387,buffet,expensive,12:04,22:04,Times Square,1.7,false
388,family style,expensive,10:41,23:15,Greenwich Village,2.7,true
389,casual dining,medium,10:36,22:58,Loisaida,4.8,false
390,contemporary,expensive,10:44,23:35,Chinatown,3.4,false
391,casual dining,cheap,11:50,21:57,Financial District,3.9,true
392,casual dining,cheap,10:46,21:50,Cooperative Village,3.3,true
393,family style,cheap,10:57,23:13,Nolita,4.0,true
394,casual dining,medium,11:33,21:43,Battery Park City,1.4,true
395,cafe,expensive,11:13,22:45,Tribeca,4.7,true
396,family style,expensive,12:26,22:13,Diamond District,3.7,false
397,casual dining,cheap,11:50,23:00,Tribeca,3.6,false
398,fine dining,cheap,10:53,21:48,East Village,4.6,true
399,fast food,cheap,11:37,22:50,Upper West Side,3.8,true
400,cafe,expensive,12:03,23:33,South Village,4.6,true
401,contemporary,expensive,10:34,22:50,Essex Crossing,2.3,true
402,fine dining,medium,11:22,21:51,Silicon Alley,4.8,false
403,fine dining,cheap,11:37,23:04,Nolita,3.3,false
404,family style,expensive,11:23,23:54,Financial District,1.7,true
405,contemporary,cheap,11:22,22:16,Little Italy,1.1,false
406,cafe,expensive,12:23,23:36,Civic Center,2.8,false
407,casual dining,medium,11:19,22:43,Kips Bay,4.8,false
408,contemporary,cheap,11:17,23:35,Chelsea,3.3,false
409,fast food,cheap,11:40,23:22,Flatiron District,2.5,true
410,cafe,expensive,12:08,22:27,Herald Square,1.9,true
411,fine dining,cheap,10:54,21:32,Little Fuzhou,3.1,false
412,fine dining,cheap,11:01,23:31,Essex Crossing,4.4,true
413,family style,cheap,12:06,23:40,World Trade Center,2.6,false
414,cafe,expensive,12:05,23:30,Civic Center,4.9,false
415,family style,expensive,10:51,22:26,Little Australia,1.8,false
416,contemporary,expensive,11:24,22:27,Penn South,4.8,true
417,cafe,cheap,10:49,22:40,Hudson Yards,3.1,true
418,buffet,cheap,10:38,23:22,Times Square,4.3,false
419,contemporary,cheap,10:43,22:45,Greenwich Village,3.7,true
420,cafe,cheap,12:21,21:37,NoMad,2.8,false
421,family style,expensive,11:05,22:36,Cooperative Village,4.8,true
422,cafe,medium,10:53,23:39,Hudson Yards,4.4,true
423,fine dining,cheap,11:44,23:47,Little Fuzhou,3.1,true
424,buffet,medium,12:19,22:48,Civic Center,3.5,true
425,contemporary,medium,12:04,23:49,Riverside South,1.3,false
426,buffet,expensive,11:25,22:03,Hell's Kitchen,1.3,false
427,fine dining,cheap,12:07,23:14,Lower East Side,1.4,true
428,contemporary,expensive,12:09,23:36,Loisaida,2.8,true
429,family style,medium,11:43,22:22,Pomander Walk,4.5,true
430,fine dining,medium,12:10,23:02,Little Australia,4.7,false
431,cafe,medium,11:09,22:24,Herald Square,2.0,true
432,contemporary,medium,11:02,23:33,Little Australia,2.9,false
433,family style,cheap,11:01,22:01,West Village,1.8,false
434,fast food,expensive,11:02,22:16,South Street Seaport,2.7,false
435,fast food,expensive,11:36,23:42,Financial District,1.1,false
436,contemporary,medium,10:33,22:34,Lower East Side,3.1,false
437,cafe,expensive,12:00,22:48,Upper West Side,2.1,true
438,contemporary,expensive,12:08,22:54,Upper West Side,4.3,true
439,casual dining,cheap,11:20,21:59,Pomander Walk,1.1,false
440,family style,medium,10:42,22:02,Two Bridges,3.9,false
441,family style,cheap,11:17,23:07,Two Bridges,1.9,false
442,fine dining,medium,11:22,22:05,South Street Seaport,5.0,true
443,cafe,medium,11:40,21:52,Chelsea,1.9,false
444,fast food,medium,10:54,22:03,Greenwich Village,3.2,true
445,fine dining,cheap,11:44,22:34,Gramercy Park,1.4,true
446,fast food,medium,11:22,21:55,Stuyvesant Town,2.0,false
447,family style,expensive,11:48,22:05,Loisaida,3.8,true
448,family style,expensive,10:34,23:13,Chinatown,2.4,true
449,family style,expensive,12:19,23:35,Diamond District,2.3,false
450,fine dining,cheap,10:36,21:37,South Village,3.2,false
451,fast food,cheap,12:21,23:43,Two Bridges,4.6,true
452,contemporary,medium,11:28,21:45,Garment District,1.6,false
453,fast food,medium,11:34,23:12,Bowery,4.1,true
454,fine dining,expensive,11:44,23:22,Stuyvesant Town,1.2,false
455,contemporary,cheap,10:42,21:48,Nolita,4.1,false
456,buffet,cheap,11:34,21:35,Cooperative Village,3.4,false
457,family style,cheap,10:52,22:45,Penn South,1.8,false
